center,sigma,support,input_variable,term_index
0.0,0.6607088024120712,14084,0,0
0.4444444444444444,0.641276183992196,1087,0,1
0.8333333333333334,0.5926946519339884,496,0,2
0.0,0.635976387872263,14078,1,0
0.4545454545454545,0.6359763808765228,1284,1,1
0.9090909090909092,0.6359763773786529,305,1,2
0.3692307692307692,0.6888113341724171,15133,2,0
0.7846153846153846,0.634997948690197,534,2,1
0.3421052631578947,0.699574011268861,15230,3,0
0.7631578947368421,0.6443444840634247,437,3,1
1.0,0.6768236369186541,7604,4,0
0.5916666666666666,0.6240712063941121,6779,4,1
0.1833333333333334,0.5976949911318408,1284,4,2
1.0,0.6995740112688609,12048,5,0
0.0,1.0493610169032914,3619,5,1
1.0,0.6995740112688609,15229,6,0
0.0,1.0493610169032914,438,6,1
1.0,0.6995740112688609,11808,7,0
0.0,1.0493610169032914,3859,7,1
0.0,0.6995740252603411,9628,8,0
0.45,0.664595317701158,5608,8,1
0.85,0.6121272633581234,431,8,2
0.0,0.6995740252603411,11677,9,0
0.4545454545454545,0.6677751995705619,3575,9,1
0.9090909090909092,0.6518757867256724,415,9,2
0.2653061224489796,0.6852969906307211,14933,10,0
0.6938775510204082,0.642465928716301,734,10,1
0.2653061224489796,0.6852969906307211,14944,11,0
0.6938775510204082,0.642465928716301,723,11,1
0.0,0.6726673325192312,11284,12,0
0.4230769230769231,0.632307286411826,4378,12,1
0.8076923076923077,0.5852205706170134,5,12,2
0.0001074264748415,0.699574011268861,15651,13,0
0.9957897085437102,1.0463404536506824,16,13,1
0.008937702254038,0.699564210980119,15649,14,0
0.9948587198632728,1.0395068265732292,18,14,1
0.0,0.6995740252603411,15595,15,0
1.0,1.0493610238990314,72,15,1
0.0,0.6992180338326818,15619,16,0
0.6997673742366967,0.839148085866185,48,16,1
0.027160753763554,0.699574011268861,15538,17,0
0.5267922939256764,0.6993162463420854,111,17,1
0.9886830192651858,0.6727848706646871,18,17,2
0.0,0.6995740252603411,15396,18,0
0.4444444444444444,0.6607087954163309,203,18,1
0.8769017980636238,0.6328903232822509,68,18,2
0.0273681977299246,0.699574011268861,15538,19,0
0.530815742017609,0.7019858236552233,111,19,1
0.996234220854991,0.6765875839865305,18,19,2
0.0170881749829118,0.6990958335441386,15591,20,0
0.4352358168147642,0.6420731398709932,66,20,1
0.9835953520164048,0.7046546495940365,10,20,2
0.0,0.6995740252603411,15585,21,0
0.5408542246982359,0.7281545721140252,72,21,1
0.9958217270194986,0.6823607266528732,10,21,2
0.0171408981830647,0.6990943581929138,15657,22,0
0.9866300994172096,1.0277766284856715,10,22,1
0.0552247291878628,0.6994994656350305,15490,23,0
0.490172608632896,0.6540279655337621,153,23,1
1.0,0.6836759760003055,24,23,2
0.0,0.6995740252603411,15645,24,0
0.543336439888164,0.7298910653512758,21,24,1
0.0448982408554789,0.6995740112688611,15556,25,0
0.5303387170816745,0.6893885468202563,104,25,1
1.0,0.6732571010389805,7,25,2
0.0142730832386004,0.6995740112688609,15584,26,0
0.535303776683087,0.7142865378415861,77,26,1
0.0,0.6995740252603411,15639,27,0
0.543336439888164,0.7298910653512758,27,27,1
0.0142730832386004,0.6995740112688609,15587,28,0
0.535303776683087,0.7142865378415861,74,28,1
0.0056497175141242,0.699574011268861,15662,29,0
1.0,1.0454086213593996,5,29,1
0.0310878112712975,0.699574011268861,15538,30,0
0.5287024901703801,0.6979053026181279,111,30,1
0.9887287024901704,0.6707750339504404,18,30,2
0.0,0.6995740252603411,15396,31,0
0.4444444444444444,0.6607087954163309,203,31,1
0.8769017980636238,0.6328903232822509,68,31,2
0.0313242829221911,0.699574011268861,15538,32,0
0.5327241033225926,0.7005532892414258,111,32,1
0.9962495377951508,0.6745469921398219,18,32,2
0.0119796520658589,0.6995740112688609,15660,33,0
0.543336439888164,0.7215104051062176,6,33,1
0.0,0.6995740252603411,15645,34,0
0.543336439888164,0.7298910653512758,21,34,1
0.0128863826232247,0.699574011268861,15665,35,0
1.0,1.0403460385208168,2,35,1
0.0,0.6992170216823809,15621,36,0
0.7011737260333892,0.8401314269587019,46,36,1
0.0,0.6995740252603411,15396,37,0
0.4444444444444444,0.6607087954163309,203,37,1
0.8769017980636238,0.6328903232822509,68,37,2
0.0,0.6992156369348962,15621,38,0
0.7038934426229508,0.8420333776290336,46,38,1
0.0,0.6995740252603411,15665,39,0
1.0,1.0493610238990314,2,39,1
0.0,0.6995740252603411,15645,40,0
0.543336439888164,0.7298910653512758,21,40,1
0.0,0.6995740252603411,15644,41,0
0.4716101694915254,0.6797132306565443,17,41,1
1.0,0.7095044085707594,6,41,2
0.1551020408163265,0.688152394758349,15563,42,0
0.689795918367347,0.7181341380984431,104,42,1
0.1551020408163265,0.688152394758349,15563,43,0
0.689795918367347,0.7181341380984431,104,43,1
0.0,0.6612412027250612,15550,44,0
0.7123287671232876,0.8289472943211713,117,44,1
0.0,0.6612412027250612,15550,45,0
0.7123287671232876,0.8289472943211713,117,45,1
0.0,0.6777123374081893,15657,46,0
0.4453125,0.6503852205972593,6,46,1
0.875,0.6257908182657184,4,46,2
0.0148637489677952,0.6995740112688609,15616,47,0
0.5233140655105973,0.7054856331092006,33,47,1
1.0,0.6862199078607972,18,47,2
0.0004466722914288,0.6995653312597876,15613,48,0
0.9971173093784638,1.047027541130762,54,48,1
0.123076923076923,0.688811334172417,6044,49,0
0.5384615384615384,0.6349979486901969,9495,49,1
0.9230769230769232,0.5865659017561989,128,49,2
0.3023255813953488,0.6833048482160967,14410,50,0
0.7209302325581395,0.634497359057804,1257,50,1
0.0221329075593239,0.6995740112688609,15649,51,0
1.0,1.0338774099809722,18,51,1
0.0909090909090909,0.6783747988061681,15507,52,0
0.7272727272727273,0.784370861119632,160,52,1
0.2653061224489796,0.6852969906307211,14933,53,0
0.6938775510204082,0.642465928716301,734,53,1
0.2954545454545454,0.6836746019218414,15007,54,0
0.7045454545454546,0.6280266692072729,660,54,1
0.2653061224489796,0.6852969906307211,14944,55,0
0.6938775510204082,0.642465928716301,723,55,1
0.2954545454545454,0.6836746019218414,15018,56,0
0.7045454545454546,0.6280266692072729,649,56,1
0.0,0.6995740252603411,12223,57,0
0.8087888653148803,0.9155946834080918,3444,57,1
0.5761078998073215,0.6995740112688609,9843,58,0
0.1558700418576839,0.6437744896072921,5258,58,1
1.0,0.6463309025114045,566,58,2
0.2100591715976331,0.6995740112688611,15542,59,0
0.636094674556213,0.647830371382111,125,59,1
0.3015062547868266,0.699574011268861,15614,60,0
1.0,0.83843507681942,53,60,1
0.3302325581395348,0.699574011268861,15631,61,0
1.0,0.8183389015540398,36,61,1
0.2069830268614168,0.6995740112688609,15307,62,0
0.6967838019139588,0.6924388985605343,360,62,1
0.2787698390156894,0.699574011268861,15338,63,0
0.7242320470227448,0.6614207893586099,329,63,1
0.3343922066920796,0.699574011268861,15632,64,0
0.9186785260482846,0.7585385297959695,35,64,1
0.4259259259259259,0.699574011268861,5242,65,0
0.0,0.6477537141378342,10408,65,1
1.0,0.7513943083998877,17,65,2
0.3344505293902884,0.699574011268861,15628,66,0
0.9186856516977,0.7585027136711799,39,66,1
0.4259259259259259,0.699574011268861,5837,67,0
0.0,0.6477537141378342,9809,67,1
1.0,0.7513943083998877,21,67,2
0.5,0.6995740112688611,8635,68,0
1.0,0.6995740112688611,6878,68,1
0.0,0.6995740112688611,154,68,2
0.3076923076923077,0.699574011268861,14991,69,0
0.7692307692307693,0.672667318527751,676,69,1
0.0,0.6995740252603411,13945,70,0
1.0,1.0493610238990314,1722,70,1
0.0,0.6995740252603411,10455,71,0
1.0,1.0493610238990314,5212,71,1
0.5545977011494252,0.6995740112688609,8360,72,0
1.0,0.661378878469699,7186,72,1
0.0201149425287356,0.7236972530367527,121,72,2
0.5454545454545455,0.6995740112688609,5124,73,0
0.9636363636363636,0.6423361376195904,10489,73,1
0.0,0.7313728299629001,54,73,2
0.2285714285714285,0.699574011268861,13348,74,0
0.6571428571428571,0.6496044390353709,2319,74,1
0.217391304347826,0.6691577499093453,15495,75,0
0.6521739130434783,0.6387414885498297,172,75,1
0.8076923076923077,0.6995740112688609,12223,76,0
0.0,0.9148275531977412,3444,76,1
0.8076923076923077,0.6995740112688609,12223,77,0
0.0,0.9148275531977412,3444,77,1
0.2285714285714285,0.699574011268861,13402,78,0
0.6571428571428571,0.6496044390353709,2265,78,1
0.217391304347826,0.6691577499093453,15506,79,0
0.6521739130434783,0.6387414885498297,161,79,1
0.7916666666666667,0.699574011268861,15584,80,0
0.0,0.9036164312222787,83,80,1
0.8076923076923077,0.6995740112688609,12084,81,0
0.0,0.9148275531977412,3583,81,1
0.7916666666666667,0.699574011268861,15645,82,0
0.8076923076923077,0.6995740112688609,12135,83,0
0.0,0.9148275531977412,3532,83,1
0.0,0.6995740252603411,9899,84,0
0.4347826086956521,0.6539496262253275,5544,84,1
0.8478260869565217,0.6159292960280629,224,84,2
0.0,0.6995740252603411,10593,85,0
0.4242424242424242,0.6465759871078691,4866,85,1
0.8181818181818182,0.5988777555689404,208,85,2
0.0,0.6607088024120712,13182,86,0
0.4444444444444444,0.641276183992196,1941,86,1
0.8333333333333334,0.5926946519339884,544,86,2
0.0,0.635976387872263,12996,87,0
0.4545454545454545,0.6359763808765228,2307,87,1
0.9090909090909092,0.6359763773786529,364,87,2
0.0,0.6995740252603411,10031,88,0
0.4347826086956521,0.6539496262253275,5419,88,1
0.8478260869565217,0.6159292960280629,217,88,2
0.0,0.6995740252603411,10704,89,0
0.4242424242424242,0.6465759871078691,4761,89,1
0.8181818181818182,0.5988777555689404,202,89,2
0.0,0.6607088024120712,13182,90,0
0.4444444444444444,0.641276183992196,1941,90,1
0.8333333333333334,0.5926946519339884,544,90,2
0.0,0.635976387872263,12996,91,0
0.4545454545454545,0.6359763808765228,2307,91,1
0.9090909090909092,0.6359763773786529,364,91,2
4.1240854840439136e-05,0.699574011268861,15609,92,0
0.9941231781852374,1.0452208940625767,58,92,1
0.0,0.6995740252603411,10633,93,0
0.4347826086956521,0.6539496262253275,4990,93,1
0.8478260869565217,0.6159292960280629,44,93,2
0.0,0.6995740252603411,11803,94,0
0.4242424242424242,0.6465759871078691,3809,94,1
0.8181818181818182,0.5988777555689404,55,94,2
0.0,0.6995740252603411,11906,95,0
0.4242424242424242,0.6465759871078691,3706,95,1
0.8181818181818182,0.5988777555689404,55,95,2
0.5,0.6995740112688611,11438,96,0
1.0,0.6995740112688611,3976,96,1
0.0,0.6995740112688611,253,96,2
0.75,0.6995740112688609,15462,97,0
0.0,0.8744675140860761,205,97,1
0.0476190476190476,0.699574011268861,9521,98,0
0.4761904761904761,0.6496044390353708,6124,98,1
0.9047619047619048,0.6246196529186259,22,98,2
0.0,0.6995740252603411,12365,99,0
0.4285714285714285,0.6496044460311109,2579,99,1
0.8571428571428571,0.6246196564164959,723,99,2
0.0476190476190476,0.699574011268861,9690,100,0
0.4761904761904761,0.6496044390353708,5955,100,1
0.9047619047619048,0.6246196529186259,22,100,2
0.0,0.6995740252603411,12365,101,0
0.4285714285714285,0.6496044460311109,2579,101,1
0.8571428571428571,0.6246196564164959,723,101,2
0.0526315789473684,0.699574011268861,10434,102,0
0.4736842105263157,0.6443444840634245,5209,102,1
0.8947368421052632,0.6167297204607064,24,102,2
0.0526315789473684,0.699574011268861,10609,103,0
0.4736842105263157,0.6443444840634245,5034,103,1
0.8947368421052632,0.6167297204607064,24,103,2
0.0,0.6995740252603411,9035,104,0
0.5,0.6995740182646011,5889,104,1
1.0,0.6995740147667311,743,104,2
0.0,0.6995740252603411,11051,105,0
0.5,0.6995740182646011,4335,105,1
1.0,0.6995740147667311,281,105,2
0.0,0.6995740252603411,10743,106,0
0.5,0.6995740182646011,2568,106,1
1.0,0.6995740147667311,2356,106,2
0.0,0.6995740252603411,14176,107,0
0.5,0.6995740182646011,1421,107,1
1.0,0.6995740147667311,70,107,2
0.5454545454545455,0.6995740112688609,8435,108,0
1.0,0.6677751925748217,7117,108,1
0.0,0.7313728299629001,115,108,2
0.5,0.6995740112688611,11719,109,0
1.0,0.6995740112688611,3761,109,1
0.0,0.6995740112688611,187,109,2
0.0,0.6995740252603411,10240,110,0
1.0,1.0493610238990314,5427,110,1
0.3333333333333333,0.6995740112688611,1408,111,0
1.0,0.8161696798136713,14259,111,1
0.0,0.6995740252603411,11872,112,0
0.5,0.6995740182646011,2174,112,1
1.0,0.6995740147667311,1621,112,2
0.0,0.6995740252603411,11051,113,0
1.0,1.0493610238990314,4616,113,1
0.0,0.6995740252603411,10699,114,0
0.5,0.6995740182646011,2126,114,1
1.0,0.6995740147667311,2842,114,2
1.0,0.6995740112688609,11250,115,0
0.5,0.6995740112688609,4288,115,1
0.0,0.6995740112688609,129,115,2
0.0,0.6995740252603411,12121,116,0
0.5,0.6995740182646011,1536,116,1
1.0,0.6995740147667311,2010,116,2
0.0,0.6995740252603411,13183,117,0
1.0,1.0493610238990314,2484,117,1
0.0,0.6995740252603411,8760,118,0
1.0,1.0493610238990314,6907,118,1
0.6666666666666666,0.6995740112688609,15247,119,0
0.0,0.8161696798136711,420,119,1
0.0,0.6995740252603411,10750,120,0
0.5,0.6995740182646011,3066,120,1
1.0,0.6995740147667311,1851,120,2
0.0,0.6995740252603411,9864,121,0
0.5,0.6995740182646011,4704,121,1
1.0,0.6995740147667311,1099,121,2
0.6153846153846154,0.6995740112688609,15549,122,0
0.0,0.780294089492191,118,122,1
